time,mem_used,mem_avail
2023-05-01 20:18:07.860688,24598244,6601072
2023-05-01 20:18:37.888737,24435820,6765212
2023-05-01 20:19:07.916477,24761792,6436780
2023-05-01 20:19:37.946750,24599392,6592960
2023-05-01 20:20:07.976868,25107788,6090348
2023-05-01 20:20:38.006117,24667212,6535940
2023-05-01 20:21:08.036793,25187452,6015880
2023-05-01 20:21:38.068377,24673820,6528544
2023-05-01 20:22:08.097457,24883376,6226392
2023-05-01 20:22:38.128765,25118488,6040440
2023-05-01 20:23:08.157425,25106528,6073764
2023-05-01 20:23:38.188865,24984148,6191752
2023-05-01 20:24:08.218340,25063856,6105072
2023-05-01 20:24:38.248475,25481204,5691812
2023-05-01 20:25:08.276659,25464868,5708620
2023-05-01 20:25:38.308138,25153912,6018616
2023-05-01 20:26:08.337060,25196480,5971040
2023-05-01 20:26:38.366185,25466676,5698820
2023-05-01 20:27:08.396679,25273976,5895312
2023-05-01 20:27:38.428055,25563736,5593960
2023-05-01 20:28:08.458275,25431708,5730624
2023-05-01 20:28:38.490545,25776336,5390876
2023-05-01 20:29:08.520666,25540332,5602804
2023-05-01 20:29:38.550828,25503132,5671920
2023-05-01 20:30:08.580844,25927792,5244116
2023-05-01 20:30:38.610112,25611040,5550332
2023-05-01 20:31:08.642176,26005440,5166824
2023-05-01 20:31:38.672593,25657156,5513464
2023-05-01 20:32:08.701199,26145276,5033296
2023-05-01 20:32:38.734494,25672840,5504512
2023-05-01 20:33:08.765395,25795664,5386372
2023-05-01 20:33:38.796943,26185368,4997144
2023-05-01 20:34:08.824500,25787412,5399376
2023-05-01 20:34:38.852448,26206916,4979380
2023-05-01 20:35:08.883479,25885088,5305780
2023-05-01 20:35:38.912877,26475688,4720384
2023-05-01 20:36:08.941038,25995060,5196780
2023-05-01 20:36:38.968461,26357620,4834720
2023-05-01 20:37:08.997130,26017884,5165272
2023-05-01 20:37:39.024421,26274404,4907208
2023-05-01 20:38:09.052544,26509976,4676668
2023-05-01 20:38:39.080940,26147044,5036072
2023-05-01 20:39:09.111201,26585896,4601192
2023-05-01 20:39:39.141240,26199760,4999068
2023-05-01 20:40:09.168628,26240924,4947948
2023-05-01 20:40:39.197852,26804304,4380888
2023-05-01 20:41:09.228499,26334824,4842864
2023-05-01 20:41:39.257016,26336832,4847120
2023-05-01 20:42:09.288028,26613968,4572504
2023-05-01 20:42:39.319260,26849600,4319876
2023-05-01 20:43:09.350124,26854200,4332056
2023-05-01 20:43:39.381224,26455604,4731008
2023-05-01 20:44:09.411563,26589020,4592176
2023-05-01 20:44:39.443632,26828004,4353548
2023-05-01 20:45:09.474383,27070264,4109732
2023-05-01 20:45:39.504511,26715688,4462252
2023-05-01 20:46:09.534863,26780812,4387920
